combo,workload,policy,per_gpu_rate,ttft_s_p90,tpot_s_p90,context_queue_s_median,bridge_queue_s_median,decode_queue_s_median,context_exec_s_median,decode_exec_s_median,phase_decode_handoff_debt_pressure_mean,phase_decode_rho_hard_mean,phase_decode_infeasible_rounds,phase_context_prefill_budget_ratio_mean,phase_decode_kas_intensity_mean
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,0.5,0.19191815210506313,0.0322554190953572,0.00120180845260615,0.01345098018646235,0.0001760125160217,0.06599336862564084,2.1542752385139465,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,0.75,0.2011019791476428,0.40839230597373966,0.0012093782424926502,0.2627265453338623,0.18518483638763425,0.0657427906990051,2.2600345611572266,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,1.0,3.520976383704692,1.244242678341371,0.0017121434211730502,6.265151739120483,0.5518655776977539,0.08459568023681635,2.2811842560768127,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,1.25,13.779723551589996,1.5652709430150153,1.4650959968566895,9.123702704906464,0.6198951601982117,0.11538970470428465,2.2899616360664368,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,1.5,20.314524863753466,1.7944433779693993,5.529293537139893,10.078966975212097,0.627985954284668,0.12058413028717041,2.2947206497192383,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,1.75,24.972482741996643,1.8590007479459818,8.224740028381348,10.267204523086548,0.5843311548233032,0.1237896084785461,2.297806203365326,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,2.0,28.5464476452209,1.8924942263643942,10.220543384552002,10.427986800670624,0.5927367210388184,0.11808681488037104,2.3005334734916687,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,2.25,31.452537847496565,1.8987593606127686,11.73826915025711,10.430677711963654,0.5566390752792358,0.13073003292083735,2.3018071055412292,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,2.5,33.81956032607704,1.9095838194979087,13.00233805179596,10.497817575931549,0.555138349533081,0.13037383556365964,2.3014270663261414,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,2.75,35.80376905659213,1.9199908811545794,13.935661613941193,10.455140948295593,0.5569390058517456,0.12752008438110346,2.2999815940856934,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,3.0,37.42895105145871,1.932941301117784,14.739680409431458,10.47709321975708,0.559043824672699,0.12983059883117676,2.299479901790619,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,3.25,38.8838703318499,1.9444828139059243,15.498388051986694,10.465503931045532,0.5464396476745605,0.12625753879547116,2.2984699606895447,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,3.5,40.073745037615296,1.9506541196802363,16.07190865278244,10.494926869869232,0.5410959720611572,0.12836807966232294,2.299142062664032,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,3.75,41.19951353706419,1.9571001259703185,16.633355498313904,10.695742964744568,0.5517067313194275,0.12815737724304194,2.302536189556122,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,4.0,42.16381885791197,1.959692160400251,17.044522404670715,10.827224731445312,0.5737711191177368,0.1319724321365356,2.3146072030067444,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,4.25,42.90356170386075,1.9607149181643586,17.423942804336548,10.913756966590881,0.5789101123809814,0.1328518986701965,2.3001238107681274,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,4.5,43.63239208301529,1.9709032329171894,17.778886914253235,10.92723834514618,0.562269926071167,0.13318604230880735,2.299241304397583,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,4.75,44.3337982919067,1.9778178586189945,18.109764575958252,10.89673763513565,0.5509454011917114,0.13334172964096064,2.2999534606933594,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,5.0,44.94614351037889,1.992633367019395,18.461578726768494,10.898918807506561,0.5609022378921509,0.1352930665016174,2.2979973554611206,,,,,
opt13b_sharegpt,OPT-13B + ShareGPT,phase,0.25,0.19332449482753872,0.02968258653168695,0.0009522438049316,0.011941850185394249,0.00111454725265495,0.07260620594024655,2.1528297662734985,0.0017891485646929,0.0,0.0,0.99561521742079,8.611662257495e-05
opt13b_sharegpt,OPT-13B + ShareGPT,phase,0.5,0.18885035673156375,0.0316102529504622,0.0012813210487365,0.01388651132583615,0.00122529268264765,0.06503200531005855,2.2494242191314697,0.0032275271373651496,0.0,0.0,0.99078611343626,0.00202365445529285
